Diff,Ramp,Tau,n,m,b,R2
300.0,50.0,0.1,5,0.13775196064018289,-0.04122025249126117,0.8951700577126342
1000.0,0.0,0.0001,5,0.2716227653562939,-0.03486838851091499,0.7271735321897292
1000.0,0.0,0.001,5,0.26994015792138454,-0.034970806900977584,0.7043587033365076
1000.0,0.0,0.01,5,0.22278428364809238,-0.021412037960156925,0.5827443861149211
1000.0,0.0,0.1,5,0.20974991018687608,-0.03545546551845179,0.47147886301695185
1000.0,10.0,0.0001,5,0.26027756065092417,-0.036759078023013064,0.9117012475845888
1000.0,10.0,0.001,5,0.25800455096112884,-0.03667885078578193,0.8979906584032389
1000.0,10.0,0.01,5,0.2139316935441088,-0.025293939251937868,0.6891218837949662
1000.0,10.0,0.1,5,0.204895569987007,-0.040172763022390326,0.6411118304068482
1000.0,30.0,0.0001,5,0.2694772169125513,-0.046787584625077795,0.9753430105921579
1000.0,30.0,0.001,5,0.26732133522654994,-0.04667264643271432,0.9724948848050347
1000.0,30.0,0.01,5,0.23380240126924648,-0.04364156468296629,0.8787771021837989
1000.0,30.0,0.1,5,0.25055017919235406,-0.06440124245819391,0.9624269766238331
1000.0,50.0,0.0001,5,0.24422547624259583,-0.040872898452587514,0.9534544683087272
1000.0,50.0,0.001,5,0.24331219130909246,-0.04152931599706897,0.9490160512684377
1000.0,50.0,0.01,5,0.23273087613813542,-0.0499202007390689,0.8237552495440008
1000.0,50.0,0.1,5,0.20016723839355605,-0.05129441997853308,0.8937501483765599
2000.0,0.0,0.0001,5,0.2870656527421918,-0.017107117282411502,0.413815611653477
2000.0,0.0,0.001,5,0.28879130003195147,-0.018437033369659395,0.40299608286410127
2000.0,0.0,0.01,5,0.23786465483253114,-0.0008508193133538864,0.28140891905142074
2000.0,0.0,0.1,5,0.23224278383575703,-0.02021573539060215,0.217280020607031
2000.0,10.0,0.0001,5,0.30027144886266727,-0.03155183142246324,0.6752198608645849
2000.0,10.0,0.001,5,0.29922536301671393,-0.031838632871656905,0.6643241229334876
2000.0,10.0,0.01,5,0.24562002831706709,-0.013358019371927083,0.49348205112667487
2000.0,10.0,0.1,5,0.24149301550448485,-0.032586703847848335,0.39229854028069644
2000.0,30.0,0.0001,5,0.3585124723347588,-0.06116615040177185,0.9930254827146746
2000.0,30.0,0.001,5,0.3586859801858913,-0.06306025334918253,0.9903117143167134
2000.0,30.0,0.01,5,0.29462615318233754,-0.047191231083917005,0.901281799370684
2000.0,30.0,0.1,5,0.273842105678144,-0.06001990784523382,0.9101114684215678
2000.0,50.0,0.0001,5,0.33859621284754043,-0.054481862214908236,0.9902716261485385
2000.0,50.0,0.001,5,0.33862406421431335,-0.05689130811853043,0.9894341087879573
2000.0,50.0,0.01,5,0.2987885756443746,-0.05403084112273835,0.8876928993691339
2000.0,50.0,0.1,5,0.2700803770469012,-0.060998208424888935,0.944136754014787
3000.0,0.0,0.0001,5,0.22317901269939927,0.03226454873374651,0.08342628445062072
3000.0,0.0,0.001,5,0.22423520829676546,0.03236747397011776,0.08368277768527532
3000.0,0.0,0.01,5,0.2010933269758945,0.039700948460743644,0.06302185060009147
3000.0,0.0,0.1,5,0.19298488338234085,0.017811695681325686,0.05328290952580239
3000.0,10.0,0.0001,5,0.23253186106174953,0.017334150640074826,0.14471934392889563
3000.0,10.0,0.001,5,0.23293984385333355,0.01770550822004756,0.14734842954058958
3000.0,10.0,0.01,5,0.2120008511752712,0.02460603309241975,0.11189584489088145
3000.0,10.0,0.1,5,0.20465730664502374,0.0032328479353531964,0.09234101764698388
3000.0,30.0,0.0001,5,0.2980747159057969,-0.026249068311929403,0.7261168795193018
3000.0,30.0,0.001,5,0.2997626117616267,-0.029467323456319465,0.697967022983463
3000.0,30.0,0.01,5,0.23928949381030332,-0.00965391424441325,0.4957480374673646
3000.0,30.0,0.1,5,0.2339736644748553,-0.02936890227809046,0.4063725230197043
3000.0,50.0,0.0001,5,0.37079888114475146,-0.06285543374443066,0.972505901498071
3000.0,50.0,0.001,5,0.3750306433286892,-0.06783097596965429,0.9882637720627583
3000.0,50.0,0.01,5,0.33343682146548564,-0.06461346127619197,0.8137788710984675
3000.0,50.0,0.1,5,0.2951827043892853,-0.07015589282319128,0.9285768517013702
