Total_strain,Slip_strain,Time,Slip Count,Creep,Elastic,Hygroexp,Number_of_fibers,Load,Moisture,Broken,Hygro_weighted,Plastic_like,Total_strain_norm,Slip_strain_norm
1.4163166,0.044505768,6.96,2739.0,0.06258964,1.3092213,0.0,39975.0,1.308403,0.0,0,0.0,1.4163166,0.32847717,0.010321936
1.41681,0.044522382,7.0,2741.0,0.063066356,1.3092213,0.0,39975.0,1.308403,0.0,0,0.0,1.41681,0.32859161,0.0103257885
1.4173137,0.044557832,7.04,2742.0,0.06353458,1.3092213,0.0,39975.0,1.308403,0.0,0,0.0,1.4173137,0.3287084,0.01033401
1.4179325,0.044716615,7.08,2747.0,0.06399461,1.3092213,0.0,39975.0,1.308403,0.0,0,0.0,1.4179325,0.32885194,0.010370837
1.4183846,0.044716615,7.12,2747.0,0.064446725,1.3092213,0.0,39975.0,1.308403,0.0,0,0.0,1.4183846,0.32895678,0.010370837
1.4188291,0.044716615,7.16,2747.0,0.06489121,1.3092213,0.0,39975.0,1.308403,0.0,0,0.0,1.4188291,0.32905987,0.010370837
1.4193076,0.04475799,7.2,2749.0,0.06532834,1.3092213,0.0,39975.0,1.308403,0.0,0,0.0,1.4193076,0.32917085,0.010380431
1.4199151,0.044935547,7.24,2754.0,0.06575835,1.3092213,0.0,39975.0,1.308403,0.0,0,0.0,1.4199151,0.32931176,0.010421611
1.4203907,0.044988025,7.28,2756.0,0.066181496,1.3092213,0.0,39975.0,1.308403,0.0,0,0.0,1.4203907,0.32942206,0.010433783
1.4208953,0.045076065,7.32,2759.0,0.06659802,1.3092213,0.0,39975.0,1.308403,0.0,0,0.0,1.4208953,0.3295391,0.010454201
1.4213074,0.04507803,7.36,2760.0,0.06700815,1.3092213,0.0,39975.0,1.308403,0.0,0,0.0,1.4213074,0.32963467,0.0104546575
1.4217113,0.04507803,7.4,2760.0,0.0674121,1.3092213,0.0,39975.0,1.308403,0.0,0,0.0,1.4217113,0.32972834,0.0104546575
1.4221449,0.0451136,7.44,2761.0,0.06781007,1.3092213,0.0,39975.0,1.308403,0.0,0,0.0,1.4221449,0.3298289,0.010462906
1.4225398,0.04511627,7.48,2762.0,0.06820229,1.3092213,0.0,39975.0,1.308403,0.0,0,0.0,1.4225398,0.3299205,0.010463526
1.4230534,0.045243204,7.52,2767.0,0.06858893,1.3092213,0.0,39975.0,1.308403,0.0,0,0.0,1.4230534,0.3300396,0.010492965
1.4234346,0.045243204,7.56,2767.0,0.06897018,1.3092213,0.0,39975.0,1.308403,0.0,0,0.0,1.4234346,0.330128,0.010492965
1.4238462,0.045278817,7.6,2768.0,0.069346234,1.3092213,0.0,39975.0,1.308403,0.0,0,0.0,1.4238462,0.33022347,0.010501224
1.4242684,0.045329828,7.64,2771.0,0.06971725,1.3092213,0.0,39975.0,1.308403,0.0,0,0.0,1.4242684,0.33032137,0.010513054
1.4246345,0.045329828,7.68,2771.0,0.0700834,1.3092213,0.0,39975.0,1.308403,0.0,0,0.0,1.4246345,0.33040628,0.010513054
1.4249959,0.045329828,7.72,2771.0,0.070444845,1.3092213,0.0,39975.0,1.308403,0.0,0,0.0,1.4249959,0.3304901,0.010513054
1.4253817,0.045358635,7.76,2774.0,0.070801735,1.3092213,0.0,39975.0,1.308403,0.0,0,0.0,1.4253817,0.33057958,0.0105197355
1.4257697,0.04539422,7.8,2777.0,0.07115422,1.3092213,0.0,39975.0,1.308403,0.0,0,0.0,1.4257697,0.33066955,0.010527989
1.4261893,0.045465562,7.84,2779.0,0.07150244,1.3092213,0.0,39975.0,1.308403,0.0,0,0.0,1.4261893,0.3307669,0.010544535
1.4265442,0.045476392,7.88,2780.0,0.07184654,1.3092213,0.0,39975.0,1.308403,0.0,0,0.0,1.4265442,0.3308492,0.010547047
1.426937,0.045529123,7.92,2782.0,0.072186634,1.3092213,0.0,39975.0,1.308403,0.0,0,0.0,1.426937,0.33094028,0.010559276
1.4272733,0.045529123,7.96,2782.0,0.072522864,1.3092213,0.0,39975.0,1.308403,0.0,0,0.0,1.4272733,0.3310183,0.010559276
1.4276414,0.045564834,8.0,2783.0,0.072855346,1.3092213,0.0,39975.0,1.308403,0.0,0,0.0,1.4276414,0.33110365,0.010567558
1.4280059,0.04560055,8.04,2784.0,0.0731842,1.3092213,0.0,39975.0,1.308403,0.0,0,0.0,1.4280059,0.3311882,0.010575841
1.4283314,0.04560055,8.08,2784.0,0.07350953,1.3092213,0.0,39975.0,1.308403,0.0,0,0.0,1.4283314,0.3312637,0.010575841
1.4286546,0.045567278,8.12,2785.0,0.07383324,1.309254,0.0,39974.0,1.308403,0.0,0,0.0,1.4286546,0.33133864,0.010568125
1.4289732,0.045567278,8.16,2785.0,0.07415187,1.309254,0.0,39974.0,1.308403,0.0,0,0.0,1.4289732,0.33141252,0.010568125
1.4292924,0.045571104,8.2,2786.0,0.074467294,1.309254,0.0,39974.0,1.308403,0.0,0,0.0,1.4292924,0.33148658,0.010569012
1.4296576,0.045623932,8.24,2788.0,0.07477961,1.309254,0.0,39974.0,1.308403,0.0,0,0.0,1.4296576,0.33157125,0.010581264
1.4300026,0.0456597,8.28,2789.0,0.075088896,1.309254,0.0,39974.0,1.308403,0.0,0,0.0,1.4300026,0.33165127,0.01058956
1.4303089,0.0456597,8.32,2789.0,0.075395264,1.309254,0.0,39974.0,1.308403,0.0,0,0.0,1.4303089,0.33172232,0.01058956
