Total_strain,Slip_strain,Time,Slip Count,Creep,Elastic,Hygroexp,Number_of_fibers,Load,Moisture,Broken,Hygro_weighted,Plastic_like,Total_strain_norm,Slip_strain_norm
1.6371127,0.069313906,8.72,3669.0,0.25847936,1.3093195,0.0,39972.0,1.308403,0.0,0,0.0,1.6371127,0.37968498,0.016075527
1.6372454,0.069313906,8.76,3669.0,0.25861207,1.3093195,0.0,39972.0,1.308403,0.0,0,0.0,1.6372454,0.37971577,0.016075527
1.637373,0.069313906,8.8,3669.0,0.25873956,1.3093195,0.0,39972.0,1.308403,0.0,0,0.0,1.637373,0.37974536,0.016075527
1.6375023,0.06932068,8.84,3670.0,0.25886208,1.3093195,0.0,39972.0,1.308403,0.0,0,0.0,1.6375023,0.37977535,0.016077098
1.637661,0.06936165,8.88,3671.0,0.25897977,1.3093195,0.0,39972.0,1.308403,0.0,0,0.0,1.637661,0.37981215,0.0160866
1.6377829,0.06937054,8.92,3672.0,0.25909287,1.3093195,0.0,39972.0,1.308403,0.0,0,0.0,1.6377829,0.37984043,0.01608866
1.6378915,0.06937054,8.96,3672.0,0.25920153,1.3093195,0.0,39972.0,1.308403,0.0,0,0.0,1.6378915,0.37986562,0.01608866
1.637996,0.06937054,9.0,3672.0,0.25930592,1.3093195,0.0,39972.0,1.308403,0.0,0,0.0,1.637996,0.37988985,0.01608866
1.637996,0.06937054,9.0,3672.0,0.25930592,1.3093195,0.0,39972.0,1.308403,0.0,0,0.0,1.637996,0.37988985,0.01608866
1.637996,0.06937054,9.0,3672.0,0.25930592,1.3093195,0.0,39972.0,1.308403,0.0,0,0.0,1.637996,0.37988985,0.01608866
1.637996,0.06937054,9.0,3672.0,0.25930592,1.3093195,0.0,39972.0,1.308403,0.0,0,0.0,1.637996,0.37988985,0.01608866
1.6382811,0.06937054,9.11,3672.0,0.2595745,1.3093268,9.2879445e-06,39972.0,1.308403,1.8589168e-05,0,9.29391e-06,1.6382718,0.37995598,0.01608866
1.6407025,0.069647424,9.22,3685.0,0.26002988,1.3100704,0.0009607765,39972.0,1.308403,0.0019229267,0,0.00095582695,1.6397467,0.38051754,0.016152877
1.6446952,0.0701425,9.33,3702.0,0.26066357,1.3113331,0.0025888172,39972.0,1.308403,0.005181347,0,0.002563047,1.6421322,0.38144353,0.016267698
1.6495374,0.07060459,9.44,3721.0,0.2614379,1.3129252,0.0046567265,39972.0,1.308403,0.009320366,0,0.0045898063,1.6449476,0.38256657,0.016374867
1.6553859,0.071224764,9.55,3742.0,0.26234928,1.314834,0.007155045,39972.0,1.308403,0.014321053,0,0.00701953,1.6483663,0.38392296,0.0165187
1.6623919,0.07231892,9.66,3780.0,0.26338235,1.3169935,0.010001764,39972.0,1.308403,0.02001919,0,0.009768424,1.6526234,0.38554782,0.01677246
1.6693124,0.07281571,9.77,3800.0,0.2645188,1.3193371,0.0131087,39972.0,1.308403,0.026238209,0,0.012751706,1.6565607,0.38715285,0.016887678
1.6771767,0.073691234,9.88,3829.0,0.26576003,1.3218857,0.016507542,39972.0,1.308403,0.03304154,0,0.0159959,1.6611807,0.38897678,0.017090732
1.6858165,0.07479947,9.99,3866.0,0.26710758,1.3246332,0.020193134,39972.0,1.308403,0.04041884,0,0.019493315,1.6663232,0.39098054,0.017347759
1.695055,0.07592876,10.1,3900.0,0.26855838,1.3275899,0.024183838,39972.0,1.308403,0.048406877,0,0.023256868,1.6717981,0.39312318,0.017609669
1.7048178,0.07704455,10.21,3937.0,0.27011824,1.3307589,0.028438311,39971.0,1.308403,0.056922868,0,0.02724837,1.6775694,0.39538738,0.017868444
1.7154832,0.07867626,10.32,3986.0,0.2717615,1.3340433,0.03291415,39971.0,1.308403,0.065881945,0,0.03142902,1.6840541,0.39786094,0.018246878
1.7268814,0.080666065,10.43,4042.0,0.2734928,1.3374659,0.037595335,39971.0,1.308403,0.075252004,0,0.035785604,1.6910958,0.40050447,0.01870836
1.7382823,0.08209223,10.54,4090.0,0.27531096,1.3410975,0.04259173,39971.0,1.308403,0.085253015,0,0.040408254,1.6978741,0.40314862,0.019039122
1.7509723,0.08427618,10.65,4160.0,0.27722687,1.3449327,0.04784463,39970.0,1.308403,0.09576744,0,0.045247316,1.705725,0.4060917,0.01954563
1.7633711,0.08578477,10.76,4206.0,0.27923387,1.3488852,0.053327665,39970.0,1.308403,0.10674251,0,0.050278306,1.7130928,0.4089673,0.019895509
