,Total_strain,Slip_strain,Time,Slip Count,Creep,Elastic,Hygroexp,Number_of_fibers,Load,Moisture,Broken,Hygro_weighted,Plastic_like
1617,0.46261487516179095,0.08673301776129626,157.69,29663.0,-0.0013328024232842016,-2.9072755833550856e-17,0.3776776791190049,39529.0,0.0,0.7589066429374112,0,0.37547865249883017,0.08713622266296078
1618,0.4650698019324319,0.08673301776129626,157.8,29663.0,-0.0012920192884534742,2.0287117040494024e-17,0.3799651543973973,39529.0,0.0,0.7635422202695041,0,0.3779263869549372,0.08714341497749473
1619,0.4674927644044363,0.08673301776129626,157.91,29663.0,-0.001250964977911969,-6.18163508791397e-17,0.38222187718608674,39529.0,0.0,0.7681157388145345,0,0.3803421188140445,0.08715064559039182
1620,0.4698851963572721,0.08673301776129626,158.02,29663.0,-0.001209727756914404,-4.0669507259496653e-17,0.38444947800596263,39529.0,0.0,0.7726304844140482,0,0.38272733719804813,0.08715785915922397
1621,0.4722484333705585,0.08673301776129626,158.13,29663.0,-0.0011683922152462992,9.205416005812442e-17,0.3866494809356609,39529.0,0.0,0.7770895282889073,0,0.3850834302767204,0.08716500309383812
1622,0.4745837140012848,0.08673301776129626,158.24,29663.0,-0.0011270395127618545,1.6836670958916065e-17,0.38882330502468854,39529.0,0.0,0.7814957298094423,0,0.3874116864498626,0.08717202755142217
1623,0.47689218118249005,0.08673301776129626,158.35,29663.0,-0.0010857475974877858,2.306547109238138e-17,0.3909722658984042,39529.0,0.0,0.7858517396550461,0,0.38971329573620206,0.08717888544628799
1624,0.4791748846084353,0.08673301776129626,158.46,29663.0,-0.001044591394154518,0.0,0.39309757829331304,39529.0,0.0,0.790160004858395,0,0.3919893521424553,0.08718553246598004
1625,0.4814327810266039,0.08673301776129626,158.57,29663.0,-0.0010036429359807416,-6.223607017563451e-18,0.3952003563792354,39529.0,0.0,0.7944227693891301,0,0.39424085394062064,0.08719192708598328
1626,0.48366673478846284,0.08673301776129626,158.68,29663.0,-0.0009629714683663674,-5.696306070503462e-17,0.3972816143048021,39529.0,0.0,0.7986420751931014,0,0.39646870419729074,0.0871980305911721
1627,0.48587751973886917,0.08673301776129626,158.79,29663.0,-0.0009226435250365532,-2.2274976903891417e-17,0.39934226802881345,39529.0,0.0,0.8028197658369889,0,0.3986737126421267,0.08720380709674247
1628,0.48806581940976124,0.08673301776129626,158.9,29663.0,-0.0008827229641624891,8.295049289750842e-17,0.40138313539610526,39529.0,0.0,0.8069574866139424,0,0.4008565958421829,0.08720922356757832
1629,0.4902322278248495,0.08673301776129626,159.01,29663.0,-0.0008432709807969478,6.60726179737125e-17,0.40340493679629874,39529.0,0.0,0.8110566858332267,0,0.4030179779881364,0.08721424983671311
1630,0.4923772504804444,0.08673301776129626,159.12,29663.0,-0.0008043460943852044,-5.89905757353445e-17,0.4054082959683115,39529.0,0.0,0.8151186164117644,0,0.4051583918609549,0.08721885861948947
1631,0.4945013061714486,0.08673301776129626,159.23,29663.0,-0.0007660041150233353,-3.534108977752094e-17,0.4073937416222064,39529.0,0.0,0.8191443391255828,0,0.4072782806513058,0.08722302552014283
1632,0.4966047276377225,0.08673301776129626,159.34,29663.0,-0.0007282980900582276,-2.642070041899652e-17,0.4093617078840228,39529.0,0.0,0.8231347234880646,0,0.4093779986024778,0.0872267290352447
1633,0.498687763291095,0.08673301776129626,159.45,29663.0,-0.000691278237325425,6.723856548686943e-17,0.4113125358129988,39529.0,0.0,0.8270904508030248,0,0.4114578127436725,0.0872299505474225
1634,0.5007505799040253,0.08673301776129626,159.56,29663.0,-0.0006549918676969785,1.1666238242831745e-17,0.41324647587970664,39529.0,0.0,0.8310120191675187,0,0.41351790559653107,0.0872326743074942
1635,0.5027932641038328,0.08673301776129626,159.67,29663.0,-0.0006194832997235876,3.3236478847264064e-17,0.41516368928266584,39529.0,0.0,0.8348997461313793,0,0.4155583766922887,0.08723488741154417
1636,0.5048158250912953,0.08673301776129626,159.78,29663.0,-0.0005847937711390661,-6.968451450040519e-17,0.4170642505024275,39529.0,0.0,0.8387537738649348,0,0.41757924532671,0.08723657976458532
1637,0.5068181984286019,0.08673301776129626,159.89,29663.0,-0.000550961351507513,2.520051403219338e-17,0.41894815095072047,39529.0,0.0,0.8425740765462469,0,0.4195804543979351,0.08723774403066675
1638,0.5088002483730377,0.08673301776129626,160.0,29663.0,-0.0005180208564176034,4.7295840530893796e-17,0.4208153012177528,39529.0,0.0,0.8463604649180996,0,0.4215618727958075,0.08723837557723024
1639,0.5088002483730377,0.08673301776129626,160.0,29663.0,-0.0005180208564176034,4.7295840530893796e-17,0.4208153012177528,39529.0,0.0,0.8463604649180996,0,0.4215618727958075,0.08723837557723024
1640,0.5088194310712347,0.08673301776129626,160.09,29663.0,-0.000506440759929068,-7.20700206498792e-18,0.4208199019383443,39529.0,0.0,0.8463697947653247,0,0.42156675255365644,0.08725267851757829
1641,0.5096516025455785,0.08673301776129626,160.18,29663.0,-0.00046447594074173316,1.622239094427212e-17,0.42150764164211013,39529.0,0.0,0.8477703368423211,0,0.4224213621397532,0.08723024040582533
1642,0.5093918184274845,0.08673301776129626,160.27,29663.0,-0.00041283147610128703,-5.181590163430306e-17,0.4210897669514503,39529.0,0.0,0.8469390731489395,0,0.4221946010466387,0.08719721738084579
1643,0.5081657573971947,0.08673301776129626,160.36,29663.0,-0.00035637999828717014,-8.893782270973527e-17,0.41970883765687034,39529.0,0.0,0.8441585745386708,0,0.42101256671837467,0.08715319067882005
1644,0.5066496022627466,0.08673301776129626,160.45,29663.0,-0.00030382926140630457,7.8750033369287e-18,0.41806134266829803,39529.0,0.0,0.840841984717279,0,0.41953878378451154,0.08711081847823504
1645,0.5048101778958597,0.08673301776129626,160.54,29663.0,-0.0002556110698671981,4.5242275484042524e-17,0.4161128781944013,39529.0,0.0,0.8369179621858553,0,0.4177422600162406,0.0870679178796191
1646,0.5025744502546039,0.08673301776129626,160.63,29663.0,-0.00021234770169675083,-8.870523080666108e-18,0.4137921403447327,39529.0,0.0,0.8322406437784721,0,0.41555282786816394,0.08702162238643996
1647,0.49924022136640145,0.08673301776129626,160.72,29663.0,-0.00017826194156605202,-7.320722437609641e-17,0.41042608130421215,39529.0,0.0,0.825441212989228,0,0.41228852530856697,0.08695169605783448
1648,0.4972052018194429,0.08673301776129626,160.81,29663.0,-0.00014469259756297222,-9.632085152089302e-18,0.4083303787284895,39529.0,0.0,0.8212264217237008,0,0.41028424069414515,0.08692096112529774
1649,0.4941762611722072,0.08673301776129626,160.9,29663.0,-0.00012020329401420038,-8.969601803018448e-17,0.40529081559258806,39529.0,0.0,0.8150949001791752,0,0.4073066490094438,0.0868696121627634
1650,0.4909920583148091,0.08673301776129626,160.99,29663.0,-0.00010202180346401486,6.70029024754326e-17,0.4021175765548121,39529.0,0.0,0.8086932827779036,0,0.4041742386606701,0.08681781965413898
1651,0.48758207853394353,0.08673301776129626,161.08,29663.0,-9.038727938265407e-05,5.975893099161081e-17,0.39874206929641615,39529.0,0.0,0.8018818910141082,0,0.40081848624906624,0.08676359228487729
1652,0.48401525360509096,0.08673301776129626,161.17,29663.0,-8.47771998304331e-05,-7.390398050854812e-17,0.3952298677171044,39529.0,0.0,0.7947938278703883,0,0.3973068489384583,0.08670840466663265
1653,0.4800135361565714,0.08673301776129626,161.26,29663.0,-8.785347820373398e-05,-6.132103847159165e-17,0.3913181855407033,39529.0,0.0,0.7868946726478521,0,0.39336925086697505,0.08664428528959633
1654,0.4760591984883149,0.08673301776129626,161.35,29663.0,-9.50763985755268e-05,5.32218525986117e-18,0.3874626387570847,39529.0,0.0,0.7791105757420189,0,0.3894754060390339,0.086583792449281
1655,0.47193924098467643,0.08673301776129626,161.44,29663.0,-0.00010795392905172746,-7.347827646509166e-17,0.3834607326804701,39529.0,0.0,0.7710297360773835,0,0.38541788348444533,0.0865213575002311
1656,0.4674755120108814,0.08673301776129626,161.53,29663.0,-0.00012915266345321085,1.148400510571926e-17,0.3791488294410166,39529.0,0.0,0.7623193155641181,0,0.38102426433136655,0.08645124767951484
1657,0.46312804960733384,0.08673301776129626,161.62,29663.0,-0.0001518026924547554,-7.052299504973038e-18,0.3749500140065233,39529.0,0.0,0.753839496374941,0,0.3767415876724861,0.08638646193484772
1658,0.4585982672475897,0.08673301776129626,161.71,29663.0,-0.0001796517031125563,5.27767486227865e-17,0.3705883992137037,39529.0,0.0,0.7450292257833302,0,0.37227951813327065,0.08631874911431903
1659,0.45398121544251524,0.08673301776129626,161.8,29663.0,-0.00021102463381994236,-5.265900602933642e-18,0.36615051625957856,39529.0,0.0,0.7360643950134796,0,0.36773071931621304,0.0862504961263022
1660,0.4491847586059363,0.08673301776129626,161.89,29663.0,-0.000247373719441448,3.6775697539464506e-17,0.36155277807132014,39529.0,0.0,0.7267749625687955,0,0.3630060354810578,0.08617872312487851
1661,0.4446732061988671,0.08673301776129626,161.98,29663.0,-0.00027974691686601685,1.834753192881847e-17,0.35721375052149246,39529.0,0.0,0.7180120922347829,0,0.3585558144430084,0.0861173917558587
