time_h,time_fbm,moisture_sim,moisture_phys,load,strain_total,strain_elastic,strain_viscoelastic,strain_hygro,strain_mechanosorption
16.7434,167.434,0.1193197040872496,0.09312516744959745,2.0,0.023856508596562402,0.004235483488760164,0.006224482703319337,0.0023887804758267357,0.011007761928656165
16.7452,167.452,0.1189374760185409,0.0930831223620395,2.0,0.02384377628994681,0.004234816205716046,0.006220002722436063,0.0023811282698911885,0.011007829091903513
16.747,167.47,0.1185628071114078,0.09304190878225486,2.0,0.023831216118226133,0.004234162119244237,0.006215531676460267,0.002373627398370385,0.011007894924151244
16.7488,167.488,0.1181893832426519,0.0930008321566917,2.0,0.02381869176120566,0.004233510206325514,0.006211069567425943,0.0023661514525178903,0.011007960534936313
16.750600000000002,167.506,0.1178159593738959,0.09295975553112855,2.0,0.023806176243077855,0.004232858293406792,0.006206616299979395,0.0023586755066653956,0.011008026143026272
16.7524,167.524,0.1174425355051399,0.09291867890556539,2.0,0.023793669454073504,0.004232206380488069,0.006202171764351298,0.002351199560812901,0.011008091748421236
16.7542,167.542,0.117069111636384,0.09287760228000225,2.0,0.023781171286289187,0.0042315544675693454,0.006197735852638124,0.002343723614960409,0.01100815735112131
16.756,167.56,0.1167025568567018,0.0928372812542372,2.0,0.023768830027291847,0.004230914546513708,0.006193308548060578,0.002336385188271169,0.011008221744446392
16.7578,167.578,0.1163376334856746,0.0927971396834242,2.0,0.023756532599929242,0.004230277473525554,0.0061888898554205846,0.002329079422383205,0.011008285848599898
16.759600000000002,167.596,0.1159727101146474,0.09275699811261122,2.0,0.023744243698185424,0.0042296404005374,0.006184479690972657,0.0023217736564952415,0.011008349950180126
16.761400000000002,167.614,0.1156077867436202,0.09271685654179822,2.0,0.023731963218718222,0.004229003327549245,0.006180077951374523,0.002314467890607275,0.01100841404918718
16.7632,167.632,0.115242863372593,0.09267671497098523,2.0,0.023719691059935294,0.004228366254561091,0.006175684535033733,0.0023071621247193115,0.011008478145621158
16.765,167.65,0.1148841625385464,0.0926372578792401,2.0,0.023707561548287924,0.004227740044703508,0.006171299422963562,0.0022999809340216973,0.011008541146599157
16.7668,167.668,0.1145274529163337,0.09259801982079671,2.0,0.023695483336273023,0.004227117311047708,0.006166922622457951,0.0022928396073850013,0.011008603795382363
16.768600000000003,167.686,0.114170743294121,0.09255878176235331,2.0,0.02368341336039543,0.004226494577391909,0.006162554060547904,0.0022856982807483023,0.011008666441707313
16.770400000000002,167.704,0.1138140336719083,0.09251954370390991,2.0,0.023671351523265185,0.00422587184373611,0.006158193639843367,0.0022785569541116037,0.011008729085574105
16.7722,167.722,0.1134573240496956,0.09248030564546651,2.0,0.02365929772913469,0.00422524911008031,0.006153841264596638,0.002271415627474905,0.011008791726982835
16.774,167.74,0.113106230919426,0.09244168540113686,2.0,0.02364737321791282,0.00422463618153865,0.006149496913682266,0.0022643867430069075,0.011008853379684994
16.7758,167.758,0.1127574646215329,0.09240332110836862,2.0,0.023635506974912072,0.004224027315115705,0.0061451605966403155,0.002257404441723088,0.011008914621432964
16.777600000000003,167.776,0.1124086983236398,0.09236495681560038,2.0,0.023623648700478426,0.00422341844869276,0.006140832250514996,0.002250422140439268,0.011008975860831402
16.779400000000003,167.794,0.1120599320257467,0.09232659252283214,2.0,0.023611798302735736,0.004222809582269815,0.006136511783430077,0.0022434398391554485,0.011009037097880398
16.781200000000002,167.812,0.1117111657278535,0.09228822823006388,2.0,0.02359995569135067,0.00422220071584687,0.006132199105052137,0.0022364575378716264,0.011009098332580038
16.783,167.83,0.1113674431431587,0.09225041874574746,2.0,0.023588229737880093,0.004221600654596994,0.006127894192126695,0.0022295762117260382,0.011009158679430364
16.7848,167.848,0.1110263588084446,0.09221289946892891,2.0,0.023576568519442443,0.004221005199129954,0.0061235970561357815,0.002222747703345061,0.011009218560831646
16.786600000000004,167.866,0.1106852744737311,0.09217538019211043,2.0,0.023564915022022542,0.004220409743662914,0.006119307643409349,0.002215919194964097,0.011009278439986184
16.7884,167.884,0.110344190139017,0.09213786091529187,2.0,0.02355326915885517,0.004219814288195874,0.006115025867182113,0.00220909068658312,0.011009338316894064
16.7902,167.902,0.1100031058043029,0.09210034163847332,2.0,0.02354163084462569,0.004219218832728833,0.0061107516421393445,0.0022022621782021435,0.011009398191555369
16.791999999999998,167.92,0.109666525582066,0.09206331781402727,2.0,0.023530097298861435,0.004218631240415054,0.006106484942940308,0.0021955238421529624,0.011009457273353111
16.7938,167.938,0.1093328730329392,0.09202661603362332,2.0,0.023518634499117445,0.0042180487591508935,0.0061022257827660084,0.0021888441181194436,0.011009515839081102
16.7956,167.956,0.1089992204838124,0.09198991425321937,2.0,0.023507179191198317,0.004217466277886733,0.006097974116566067,0.002182164394085925,0.011009574402659593
16.7974,167.974,0.1086655679346857,0.09195321247281543,2.0,0.023495731293078644,0.004216883796622573,0.0060937298623150015,0.002175484670052408,0.011009632964088661
16.7992,167.992,0.1083319153855588,0.09191651069241147,2.0,0.02348429072409807,0.0042163013153584126,0.0060894929393523894,0.002168804946018887,0.011009691523368385
16.801,168.01,0.1080022602455711,0.09188024862701283,2.0,0.023472943762049406,0.004215725812659034,0.006085263320321057,0.0021622052501163343,0.011009749378952983
16.8028,168.028,0.1076758030328944,0.09184433833361838,2.0,0.023461673160674296,0.004215155892811481,0.006081041019921244,0.0021556695767185447,0.011009806671223027
16.8046,168.046,0.1073493458202178,0.09180842804022396,2.0,0.02345040983884221,0.004214585972963927,0.006076826001121868,0.0021491339033207603,0.011009863961435655
16.8064,168.064,0.1070228886075411,0.09177251774682953,2.0,0.02343915371892473,0.004214016053116374,0.006072618186294444,0.0021425982299229734,0.011009921249590939
16.8082,168.082,0.1066964313948645,0.09173660745343509,2.0,0.023427904724579108,0.0042134461332688205,0.006068417499096146,0.0021360625565251864,0.011009978535688955
16.81,168.1,0.1063734944931426,0.09170108439424568,2.0,0.02341673883106716,0.004212882359081418,0.006064223910207644,0.0021295973597527133,0.011010035202025382
16.8118,168.118,0.1060540074961564,0.09166594082457721,2.0,0.023405654534398683,0.004212324607640962,0.006060037435664887,0.0021232012300730525,0.01101009126101978
16.8136,168.136,0.1057345204991702,0.09163079725490872,2.0,0.02339457732053235,0.004211766856200505,0.006055858045894426,0.0021168051003933866,0.011010147318044032
16.8154,168.154,0.105415033502184,0.09159565368524024,2.0,0.02338350711592046,0.004211209104760049,0.006051685667348481,0.002110408970713723,0.011010203373098205
16.8172,168.172,0.1050955465051978,0.09156051011557176,2.0,0.023372443848227203,0.004210651353319593,0.0060475202276911765,0.00210401284103406,0.01101025942618237
16.819,168.19,0.1047791279509234,0.09152570407460157,2.0,0.023361453734897175,0.0042100989586803805,0.006043361695663964,0.0020976781415774862,0.011010314938975346
16.820800000000002,168.208,0.1044663915279033,0.09149130306806937,2.0,0.023350550042869116,0.004209552992202659,0.006039210088404979,0.002091417158388624,0.011010369803872853
16.8226,168.226,0.1041536551048832,0.09145690206153716,2.0,0.02333965325105154,0.004209007025724936,0.006035065383243922,0.002085156175199762,0.011010424666882918
16.8244,168.244,0.1038409186818631,0.09142250105500495,2.0,0.023328763289687054,0.004208461059247214,0.006030927510423332,0.0020788951920109,0.011010479528005608
16.8262,168.262,0.103528182258843,0.09138810004847273,2.0,0.02331788009016173,0.004207915092769492,0.0060267964013292165,0.002072634208822036,0.011010534387240988
16.828,168.28,0.1032180894171585,0.09135398983588744,2.0,0.023307060695232654,0.004207373741381936,0.006022672022834906,0.0020664261501315137,0.011010588780884298
16.829800000000002,168.298,0.1029118958579441,0.09132030854437385,2.0,0.02329633223411442,0.004206839197252375,0.006018554393055336,0.002060296155076041,0.011010642488730665
16.8316,168.316,0.1026057022987297,0.09128662725286027,2.0,0.023285610503663727,0.004206304653122814,0.0060144434957522955,0.002054166160020569,0.01101069619476805
16.8334,168.334,0.1022995087395152,0.09125294596134667,2.0,0.023274895437644907,0.004205770108993252,0.006010339264690048,0.0020480361649650937,0.011010749898996513
16.8352,168.352,0.1019933151803008,0.09121926466983309,2.0,0.023264186970902222,0.00420523556486369,0.006006241634712797,0.002041906169909621,0.011010803601416114
16.837,168.37,0.1016893652057407,0.09118583017263147,2.0,0.023253533508381018,0.004204704937521305,0.006002150570889977,0.0020358210914189277,0.011010856908550805
16.838800000000003,168.388,0.101389517785977,0.09115284695645748,2.0,0.023242975205003805,0.004204181472304042,0.005998066092196715,0.002029818146075261,0.01101090949442779
16.840600000000002,168.406,0.1010896703662133,0.09111986374028347,2.0,0.02323242347478065,0.004203658007086778,0.00599398818839199,0.002023815200731591,0.011010962078570292
16.8424,168.424,0.1007898229464496,0.09108688052410946,2.0,0.02322187825474924,0.004203134541869515,0.005989916796513435,0.0020178122553879212,0.011011014660978369
16.8442,168.442,0.1004899755266859,0.09105389730793545,2.0,0.023211339482968035,0.004202611076652252,0.005985851854619455,0.0020118093100442514,0.011011067241652076
16.846,168.46,0.1001919932339943,0.09102111925573937,2.0,0.0232008473916247,0.00420209086752153,0.005981793326016125,0.0020058437045445653,0.011011119493542483
16.847800000000003,168.478,0.0998983007335682,0.09098881308069251,2.0,0.023190454349978365,0.004201578147389853,0.005977741230370607,0.0019999639806860363,0.011011170991531866
16.849600000000002,168.496,0.0996046082331422,0.09095650690564565,2.0,0.02318006773493964,0.004201065427258176,0.005973695562996439,0.0019940842568275077,0.011011222487857516
16.8514,168.514,0.0993109157327162,0.09092420073059879,2.0,0.023169687486591213,0.0042005527071264995,0.005969656263976247,0.0019882045329689788,0.011011273982519488
16.8532,168.532,0.0990172232322902,0.09089189455555192,2.0,0.023159313545981573,0.004200039986994823,0.00596562327435847,0.00198232480911045,0.011011325475517832
16.855,168.55,0.0987250384654573,0.09085975423120031,2.0,0.023148978427355082,0.004199529899022174,0.005961596555739437,0.0019764752700784562,0.011011376702515015
16.856800000000003,168.568,0.0984373165900601,0.09082810482490661,2.0,0.023138745954172438,0.004199027602240247,0.0059575761283478445,0.0019707150781330023,0.011011427145451341
16.858600000000003,168.586,0.0981495947146628,0.0907964554186129,2.0,0.023128519771089234,0.004198525305458322,0.005953561992652217,0.001964954886187549,0.011011477586791149
16.8604,168.60399999999998,0.0978618728392661,0.09076480601231927,2.0,0.023118299821022707,0.004198023008676396,0.005949554091569711,0.0019591946942421074,0.011011528026534491
16.8622,168.622,0.0975741509638684,0.09073315660602553,2.0,0.02310808604780469,0.0041975207118944684,0.00594555236893216,0.001953434502296646,0.011011578464681416
16.864,168.64,0.0972875999354092,0.09070163599289502,2.0,0.02309790369053122,0.004197020459144295,0.005941556784689839,0.001947697750706893,0.011011628695990192
16.8658,168.658,0.0970056737523527,0.0906706241127588,2.0,0.023087827343428714,0.004196528280319536,0.005937567359551197,0.0019420535885221,0.011011678115035879
16.8676,168.676,0.0967237475692962,0.09063961223262258,2.0,0.023077757159176267,0.004196036101494779,0.00593358409879522,0.0019364094263373097,0.011011727532548959
16.8694,168.694,0.0964418213862397,0.09060860035248637,2.0,0.023067693083330815,0.0041955439226700215,0.005929606947978793,0.0019307652641525192,0.011011776948529482
16.871199999999998,168.712,0.0961598952031832,0.09057758847235016,2.0,0.0230576350623163,0.004195051743845264,0.005925635853525815,0.0019251211019677287,0.011011826362977494
16.873,168.73,0.0958788222443259,0.09054667044687585,2.0,0.023047601476041443,0.004194561054555387,0.0059216707738030385,0.0019194940213314046,0.011011875626351614
16.8748,168.748,0.0956025273409839,0.09051627800750824,2.0,0.023037677084770544,0.004194078706660846,0.005917711729946977,0.0019139625973664985,0.011011924050796226
16.8766,168.766,0.095326232437642,0.09048588556814062,2.0,0.023027758737685193,0.004193596358766305,0.0059137587317482235,0.0019084311734015925,0.011011972473769071
16.8784,168.784,0.0950499375343,0.090455493128773,2.0,0.02301784638280103,0.004193114010871763,0.0059098117272223805,0.0019028997494366863,0.011012020895270199
16.8802,168.802,0.0947736426309581,0.09042510068940539,2.0,0.0230079399689564,0.004192631662977222,0.005905870665207749,0.0018973683254717804,0.011012069315299649
16.882,168.82,0.0944979001211606,0.09039476901332767,2.0,0.022998051379449047,0.00419215027943584,0.005901935502531354,0.001891847960425636,0.011012117637056215
16.8838,168.838,0.0942270739139091,0.09036497813053,2.0,0.022988274854842575,0.004191677478637584,0.005898006260606745,0.00188642601975646,0.011012165095841783
16.8856,168.856,0.0939562477066577,0.09033518724773235,2.0,0.022978504263511418,0.004191204677839327,0.0058940829533713195,0.0018810040790872866,0.011012212553213486
16.8874,168.874,0.0936854214994062,0.09030539636493469,2.0,0.022968739555764353,0.0041907318770410705,0.005890165531133805,0.0018755821384181131,0.011012260009171364
16.8892,168.892,0.0934145952921547,0.09027560548213702,2.0,0.022958980682691425,0.004190259076242813,0.005886253944984212,0.0018701601977489373,0.01101230746371546
16.891000000000002,168.91,0.0931440370703814,0.09024584407774196,2.0,0.022949233385589914,0.00418978674328609,0.005882348150263662,0.001864743622149036,0.011012354869891126
16.8928,168.928,0.0928785169755966,0.09021663686731562,2.0,0.022939600676037876,0.004189323205750186,0.005878448168502509,0.0018594279098514434,0.011012401391933737
16.8946,168.946,0.0926129968808119,0.0901874296568893,2.0,0.022929973795801584,0.004188859668214282,0.005874554017415908,0.0018541121975538535,0.01101244791261754
16.8964,168.964,0.0923474767860271,0.09015822244646299,2.0,0.022920352697331815,0.004188396130678379,0.005870665649454594,0.0018487964852562633,0.011012494431942577
16.8982,168.982,0.0920819566912423,0.09012901523603666,2.0,0.02291073733382202,0.004187932593142475,0.005866783017811986,0.001843480772958671,0.011012540949908889
16.900000000000002,169.0,0.0918164365964576,0.09009980802561034,2.0,0.022901127659195275,0.0041874690556065715,0.005862906076411108,0.0018381650606610809,0.011012587466516514
16.900000000000002,169.0,0.0918164365964576,0.09009980802561034,2.0,0.022901127659195275,0.0041874690556065715,0.005862906076411108,0.0018381650606610809,0.011012587466516514
16.900000000000002,169.0,0.0918164365964576,0.09009980802561034,2.0,0.022901127659195275,0.0041874690556065715,0.005862906076411108,0.0018381650606610809,0.011012587466516514
16.900000000000002,169.0,0.0918164365964576,0.09009980802561034,2.0,0.022901127659195275,0.0041874690556065715,0.005862906076411108,0.0018381650606610809,0.011012587466516514
16.9022,169.022,0.092004465504331,0.09012049120547641,2.0,0.022900530507089772,0.004187797311201332,0.005858183389911872,0.0018419293993967064,0.01101262040657986
16.904400000000003,169.044,0.0922024878704798,0.09014227366575278,2.0,0.022900177243700227,0.0041881430130953174,0.005853485326815662,0.001845893807167006,0.011012655096622241
