candidate_index,run_id_kv,J_w_kv,m_Weibull_kv,lambda_Weibull_kv,decay_kv,failure_limit_kv,wet_scale_kv,reverse_scale_kv,J_eff_kv,kv_score,broken_kv,run_id_ms,J_w_ms,m_Weibull_ms,lambda_Weibull_ms,decay_ms,failure_limit_ms,wet_scale_ms,reverse_scale_ms,ms_score,broken_ms,error,run_id,mse_plain
503,cand_00503,0.0072335661796257,1.3758933016277068,0.0537498820081401,12.788841563119703,0.5773364089113897,0.5115903835494761,0.9039905894552168,0.0106907762038932,0.0157113348228082,0,cand_00503,0.0072335661796257,1.3758933016277068,0.0537498820081401,12.788841563119703,0.5773364089113897,0.5115903835494761,0.9039905894552168,0.0051604946062731,0,,cand_00503,1.2108911305119798e-05
1984,cand_01984,0.0092345777418033,1.3789295122243044,0.0850156173212476,25.763047680994475,0.3100791706368779,0.6363676048445346,0.6487921202230622,0.0106919625126755,0.0157426551980479,0,cand_01984,0.0092345777418033,1.3789295122243044,0.0850156173212476,25.763047680994475,0.3100791706368779,0.6363676048445346,0.6487921202230622,0.0295011121676896,0,,cand_01984,6.02914733731417e-05
992,cand_00992,0.0067481502963349,1.409692344779048,0.0593669299258447,4.253861166506376,0.4839567860283329,0.6238775432943066,0.7337441489029313,0.0083078929774293,0.0157464726123252,0,cand_00992,0.0067481502963349,1.409692344779048,0.0593669299258447,4.253861166506376,0.4839567860283329,0.6238775432943066,0.7337441489029313,0.032142185553499,0,,cand_00992,6.537498795064664e-05
414,cand_00414,0.0084087270645654,1.2203582332917442,0.0728779844934929,10.08374302434443,0.4752961225404624,0.6146249077478245,0.9803804445116084,0.0106922911932991,0.0157513383891268,0,cand_00414,0.0084087270645654,1.2203582332917442,0.0728779844934929,10.08374302434443,0.4752961225404624,0.6146249077478245,0.9803804445116084,0.0219317822969771,0,,cand_00414,4.470193461599394e-05
1948,cand_01948,0.0072008887474224,1.223941452027816,0.0866491173293913,20.15938544339096,0.3681123517109037,0.6517287150610471,0.7009980657665253,0.008306235943322,0.0157902783713693,0,cand_01948,0.0072008887474224,1.223941452027816,0.0866491173293913,20.15938544339096,0.3681123517109037,0.6517287150610471,0.7009980657665253,0.0401177355009472,0,,cand_01948,8.115079680712813e-05
317,cand_00317,0.0063435624653714,1.460713772778976,0.0583385926761778,9.78144459047478,0.427464951751426,0.4979866905140381,0.8019788383369971,0.0083035012865982,0.0158627054977501,0,cand_00317,0.0063435624653714,1.460713772778976,0.0583385926761778,9.78144459047478,0.427464951751426,0.4979866905140381,0.8019788383369971,0.0224395612070325,0,,cand_00317,4.539985996539323e-05
400,cand_00400,0.0068371458057962,1.3208611946800293,0.0621180930062574,6.569530195500705,0.5401347650000027,0.6668123748026735,0.7247235770723987,0.0083022850462211,0.0158949707535243,0,cand_00400,0.0068371458057962,1.3208611946800293,0.0621180930062574,6.569530195500705,0.5401347650000027,0.6668123748026735,0.7247235770723987,0.0340899743252185,0,,cand_00400,6.92126548940805e-05
1848,cand_01848,0.0061584733963368,1.141277897173056,0.0623190411033664,35.888284305531194,0.7168387836199567,0.547037226252897,0.9890439229442008,0.0083012589129894,0.0159222182126004,0,cand_01848,0.0061584733963368,1.141277897173056,0.0623190411033664,35.888284305531194,0.7168387836199567,0.547037226252897,0.9890439229442008,0.025803682621311,0,,cand_01848,5.164503702102544e-05
1105,cand_01105,0.0077548353480526,1.206421819601051,0.0642677853600906,1.7507677760951246,0.2940522472039889,0.6082408926591601,0.9288641279937188,0.0106990264184282,0.0159297989151125,0,cand_01105,0.0077548353480526,1.206421819601051,0.0642677853600906,1.7507677760951246,0.2940522472039889,0.6082408926591601,0.9288641279937188,0.0164778304575222,0,,cand_01105,3.4445700148038294e-05
943,cand_00943,0.0070512134119714,1.403926255334671,0.0756627466993315,2.025520455788666,0.4984122281842519,0.6033051001446232,0.822157665035399,0.0082978127888013,0.0160138957425985,0,cand_00943,0.0070512134119714,1.403926255334671,0.0756627466993315,2.025520455788666,0.4984122281842519,0.6033051001446232,0.822157665035399,0.0382456079952158,0,,cand_00943,7.780967179714199e-05
