Total_strain,Slip_strain,Time,Slip Count,Creep,Elastic,Hygroexp,Number_of_fibers,Load,Load_fibers,Moisture,Broken,Total_model,Creep_model,Mech_model,Reduced,plastic,templ_global
0.0193456307977049,0.0095246783031714,108.604,256867.0,0.0035259925891588,0.0043537143942354,0.0019591946942421,37214.0,2.0,80000.00000000003,0.0978618728392659,0,0.018938631092651505,0.004926908040501131,0.008165369545270968,0.014011723052150375,0.00040699970505339524,0.005846353506879407
0.0193369382436852,0.0095243541978207,108.622,256870.0,0.0035237975782047,0.0043531497566678,0.0019534345022966,37214.0,2.0,79999.99999999994,0.0975741509638686,0,0.018929938538631803,0.004922983299657176,0.008165949266672821,0.014006955238974626,0.00040699970505339524,0.005841005972301806
0.0193284029774967,0.0095241555738794,108.64,256874.0,0.0035216081270666,0.0043525873653706,0.0019476977507068,37214.0,2.0,80000.00000000003,0.0972875999354089,0,0.018921403272443304,0.004919065813075789,0.008166661961934456,0.014002337459367515,0.00040699970505339524,0.0058356754974330585
0.0193198740174224,0.0095238606926938,108.658,256877.0,0.0035194243247448,0.0043520340244716,0.001942053588522,37214.0,2.0,80000.00000000004,0.0970056737523525,0,0.018912874312369005,0.004915155546696753,0.00816729650053729,0.013997718765672252,0.00040699970505339524,0.005830422265134963
0.0193116529188693,0.0095238606926938,108.676,256877.0,0.0035172459786243,0.0043514806259464,0.0019364094263373,37214.0,2.0,79999.99999999997,0.096723747569296,0,0.018904653213815903,0.004911252465563733,0.008168231715415303,0.01399340074825217,0.00040699970505339524,0.005825169032836867
0.0193034366123895,0.0095238606926938,108.694,256877.0,0.0035150730572285,0.0043509271697721,0.0019307652641525,37214.0,2.0,80000.00000000001,0.0964418213862395,0,0.018896436907336105,0.004907356529606302,0.008169164577191034,0.013989080377729803,0.00040699970505339524,0.00581991580053877
0.0192949275818084,0.0095235721508225,108.712,256881.0,0.003512905512382,0.0043503736559255,0.0019251211019677,37214.0,2.0,80000.00000000003,0.096159895203183,0,0.018887927876755004,0.00490346769938035,0.00816979760913398,0.013984460177374654,0.00040699970505339524,0.005814662568240673
0.0192866058247182,0.0095234435285639,108.73,256882.0,0.0035107433120605,0.0043498217654652,0.0019194940213314,37214.0,2.0,80000.00000000001,0.0958788222443257,0,0.018879606119664803,0.004899585936950701,0.008170592347630144,0.013980020182714102,0.00040699970505339524,0.005809427835083958
0.0192782500536079,0.0095231791082322,108.748,256885.0,0.0035085865599193,0.0043492792325542,0.0019139625973664,37214.0,2.0,80000.00000000003,0.0956025273409837,0,0.018871250348554504,0.004895711209804244,0.008171228190440881,0.01397553913875026,0.00040699970505339524,0.00580431094830938
0.019269940899691,0.0095229547851992,108.766,256887.0,0.0035064350646274,0.0043487366440071,0.0019084311734015,37214.0,2.0,79999.99999999999,0.0953262324376417,0,0.018862941194637606,0.004891843485077575,0.008171903648025228,0.01397109770956003,0.00040699970505339524,0.005799194061534801
0.0192618693308926,0.0095229547851992,108.784,256887.0,0.0035042887818657,0.0043481939998019,0.0019028997494366,37214.0,2.0,79999.99999999997,0.0950499375343,0,0.018854869625839203,0.004887982725479462,0.008172809725599518,0.013966886900359741,0.00040699970505339524,0.005794077174760223
0.0192534324943017,0.0095225978594693,108.802,256892.0,0.0035021476754813,0.0043476512999167,0.0018973683254717,37214.0,2.0,79999.99999999996,0.0947736426309581,0,0.018846432789248305,0.004884128894293649,0.008173343606969013,0.013962303894954656,0.00040699970505339524,0.005788960287985642
0.0192450688944079,0.0095220442317647,108.82,256896.0,0.0035001091169879,0.0043472302619826,0.0018918479604256,37213.0,2.0,80000.00000000007,0.0944979001211606,0,0.018838069189354503,0.004880281955842644,0.008173934379650055,0.013957787233511858,0.00040699970505339524,0.005783852853861803
0.0192368711738616,0.0095217931925434,108.838,256901.0,0.0034979782962029,0.0043466982056411,0.0018864260197564,37213.0,2.0,80000.00000000003,0.0942270739139091,0,0.018829871468808206,0.0048764418790351255,0.008174589118380461,0.013953429589773081,0.00040699970505339524,0.005778840471392621
