Diff,Tau,Ramp,LoadD,LoadD_tag,is_avg,ms_nr,ms_nr_ratio,Fo_diff,Fo_visc,Slip_unload,Slip_Ratio,Mech_unload,Total_unload,Mech_Ratio,SlipCount_unload,Plastic_unload,Mech_no_Plastic,Mech_max_unload,Mech_max_ratio,Slip_end,BrokenFibers_unload,BrokenFibers_end,Slip_per_strain_unload,Slip_per_strain_end,CSV_path
100.0,0.01,0.0,0.45,0p45,False,,,0.10723716840243021,0.5029470779312348,0.0627492,0.04428645252029475,0.033140827,1.4168938,0.02338977487232988,4206.0,0.13558812947025387,-0.11219835459792399,0.038113736,0.02689950086590823,7970.0,39892.0,39837.0,2968.4652441841445,41485.78880100241,../Analysis_folders/Structured_Data_Redo/Diff_100/Ramp_00%/LoadD_0p45/Tau_0.01/all.csv
100.0,0.1,0.0,0.45,0p45,False,,,0.10723716840243021,0.05029470779312349,0.060771473,0.04271741473752342,0.019551594,1.4226393,0.013743184235104428,4289.0,0.1344498918313307,-0.12070670759622626,0.025043366,0.01760345436822953,7991.0,39881.0,39821.0,3014.8190057732836,41777.82936179935,../Analysis_folders/Structured_Data_Redo/Diff_100/Ramp_00%/LoadD_0p45/Tau_0.1/all.csv
100.0,0.0001,0.0,0.5,0p5,False,0.015207268,0.009718818143007967,0.10723716840243021,50.29470779312352,0.09120274,0.0582867905138542,0.07508293,1.564724,0.04798477558981648,5210.0,0.12727495072613443,-0.07929017513631795,0.07943839,0.05076830802109509,10011.0,39877.0,39803.0,3329.6606941543682,50268.59881666182,../Analysis_folders/Structured_Data_Redo/Diff_100/Ramp_00%/LoadD_0p5/Tau_0.0001/all.csv
100.0,0.001,0.0,0.5,0p5,False,0.015531055,0.009921299352795773,0.10723716840243021,5.029470779312351,0.09088522,0.05805783794885161,0.07211797,1.5654255,0.04606924443226459,5197.0,0.12737930358231678,-0.08131005915005218,0.07792813,0.04978079761700573,9980.0,39877.0,39806.0,3319.8641519510193,50049.44514071792,../Analysis_folders/Structured_Data_Redo/Diff_100/Ramp_00%/LoadD_0p5/Tau_0.001/all.csv
100.0,0.01,0.0,0.5,0p5,False,0.015420415,0.00979540416071145,0.10723716840243021,0.5029470779312348,0.08926295,0.05670188978878831,0.048374366,1.57425,0.030728515801175166,5102.0,0.12638346514213117,-0.095654949340956,0.05995476,0.038084649833253936,9961.0,39884.0,39799.0,3240.908369064634,50065.54862487615,../Analysis_folders/Structured_Data_Redo/Diff_100/Ramp_00%/LoadD_0p5/Tau_0.01/all.csv
100.0,0.1,0.0,0.5,0p5,False,0.014753449,0.009337251868327047,0.10723716840243021,0.05029470779312349,0.086511314,0.05475180266512108,0.03620727,1.5800633,0.022915075617540134,5073.0,0.12527686074349048,-0.10236178512595034,0.043284748,0.027394312620260212,9900.0,39882.0,39789.0,3210.6308652317916,50013.79926188725,../Analysis_folders/Structured_Data_Redo/Diff_100/Ramp_00%/LoadD_0p5/Tau_0.1/all.csv
100.0,0.0001,0.0,0.55,0p55,False,,,0.10723716840243021,50.29470779312352,0.12565503,0.0726942469883282,0.10365239,1.7285416,0.05996522733384027,6413.0,0.12040532897790832,-0.060440101644068045,0.10872041,0.06289719032506941,12251.0,39850.0,39769.0,3710.0640216006373,58863.48831056935,../Analysis_folders/Structured_Data_Redo/Diff_100/Ramp_00%/LoadD_0p55/Tau_0.0001/all.csv
100.0,0.001,0.0,0.55,0p55,False,,,0.10723716840243021,5.029470779312351,0.12517197,0.07239075541169779,0.1012313,1.7291154,0.058545138167180745,6391.0,0.12049266925735554,-0.06194753109017479,0.106474765,0.06157759337520214,12257.0,39852.0,39762.0,3696.109582969419,58830.09937376686,../Analysis_folders/Structured_Data_Redo/Diff_100/Ramp_00%/LoadD_0p55/Tau_0.001/all.csv
100.0,0.01,0.0,0.55,0p55,False,,,0.10723716840243021,0.5029470779312348,0.12234602,0.07040163670860175,0.077442214,1.7378292,0.044562615244351976,6216.0,0.11951225126151638,-0.0749496360171644,0.082806975,0.047649662579038264,12134.0,39865.0,39762.0,3576.876254582441,58423.083271238145,../Analysis_folders/Structured_Data_Redo/Diff_100/Ramp_00%/LoadD_0p55/Tau_0.01/all.csv
100.0,0.1,0.0,0.55,0p55,False,,,0.10723716840243021,0.05029470779312349,0.11827738,0.06784399756609717,0.060625408,1.7433728,0.03477478138927027,6230.0,0.11827389414358191,-0.08349911275431164,0.0660409,0.037881111831043826,12045.0,39857.0,39755.0,3573.532866865882,58415.438669390875,../Analysis_folders/Structured_Data_Redo/Diff_100/Ramp_00%/LoadD_0p55/Tau_0.1/all.csv
100.0,0.0001,0.0,0.6,0p6,False,0.033616103,0.017701749085005207,0.10723716840243021,50.29470779312352,0.1667101,0.08778710489244178,0.13472192,1.8990272,0.07094259629351281,7619.0,0.11496861129740533,-0.04402601500389253,0.13979876,0.07361598612173643,14729.0,39831.0,39729.0,4012.054171735929,67462.55596840945,../Analysis_folders/Structured_Data_Redo/Diff_100/Ramp_00%/LoadD_0p6/Tau_0.0001/all.csv
100.0,0.001,0.0,0.6,0p6,False,0.034128487,0.017964004812650758,0.10723716840243021,5.029470779312351,0.16628754,0.08752776438181557,0.13101907,1.8998262,0.0689637136281203,7574.0,0.11510208670666823,-0.04613837307854793,0.13785648,0.07256267968090976,14741.0,39835.0,39724.0,3986.6804658236633,67410.86135724619,../Analysis_folders/Structured_Data_Redo/Diff_100/Ramp_00%/LoadD_0p6/Tau_0.001/all.csv
100.0,0.01,0.0,0.6,0p6,False,0.03360579,0.017605102295000726,0.10723716840243021,0.5029470779312348,0.16261202,0.08518773837772312,0.10257669,1.9088665,0.053736963795006094,7440.0,0.11408658489213362,-0.06034962109712753,0.11647316,0.06101692287019548,14620.0,39841.0,39725.0,3897.6010108616815,67133.18259132799,../Analysis_folders/Structured_Data_Redo/Diff_100/Ramp_00%/LoadD_0p6/Tau_0.01/all.csv
100.0,0.1,0.0,0.6,0p6,False,0.03250784,0.01698630580778491,0.10723716840243021,0.05029470779312349,0.15712605,0.08210299840497866,0.087245815,1.9137675,0.04558851323371308,7422.0,0.11293900121096215,-0.06735048797724907,0.09573879,0.05002634332540395,14453.0,39836.0,39711.0,3878.214046377107,66869.00868741915,../Analysis_folders/Structured_Data_Redo/Diff_100/Ramp_00%/LoadD_0p6/Tau_0.1/all.csv
