Total_strain,Slip_strain,Time,Slip Count,Creep,Elastic,Hygroexp,Number_of_fibers,Load,Moisture,Broken
1.5937584675251106,0.0771640424406606,1005.0,4171.0,0.2905369847558535,1.2267414185869383,0.0,39970.0,1.1290459917974973,0.0,0
1.5937584675251106,0.0771640424406606,1005.0,4171.0,0.2905369847558535,1.2267414185869383,0.0,39970.0,1.1290459917974973,0.0,0
1.5937584675251106,0.0771640424406606,1005.0,4171.0,0.2905369847558535,1.2267414185869383,0.0,39970.0,1.1290459917974973,0.0,0
0.32011120958832257,0.03161732301587507,1005.0,7861.0,0.2912939985915688,2.8848681373996916e-17,0.0,39861.0,0.0,0.0,0
0.32011120958832257,0.03161732301587507,1005.0,7861.0,0.2912939985915688,2.8848681373996916e-17,0.0,39861.0,0.0,0.0,0
0.2615910318629871,0.026006033237830628,1006.0,8252.0,0.23838511064427778,4.049096893058897e-17,0.0,39861.0,0.0,0.0,0
0.24431869038946494,0.025985823047963257,1007.0,8259.0,0.221132979360623,8.27297929800637e-17,0.0,39861.0,0.0,0.0,0
0.23342853399212257,0.025985823047963257,1008.0,8259.0,0.21024282296328062,1.2450897346886258e-16,0.0,39861.0,0.0,0.0,0
0.22522975324005182,0.025985823047963257,1009.0,8259.0,0.2020440422112099,1.0626838163993708e-16,0.0,39861.0,0.0,0.0,0
0.21833971490597368,0.025985823047963257,1010.0,8259.0,0.19515400387713175,4.606112313298963e-17,0.0,39861.0,0.0,0.0,0
0.21222025329407296,0.025985823047963257,1011.0,8259.0,0.18903454226523103,-1.9934015473520722e-17,0.0,39861.0,0.0,0.0,0
0.2066466665045041,0.025985823047963257,1012.0,8259.0,0.18346095547566219,7.097259453330269e-17,0.0,39861.0,0.0,0.0,0
0.20151210456541072,0.025985823047963257,1013.0,8259.0,0.1783263935365688,-1.445458039493766e-18,0.0,39861.0,0.0,0.0,0
0.19665832690611193,0.025888783268611788,1014.0,8276.0,0.17356965565662144,1.1043541339395886e-16,0.0,39861.0,0.0,0.0,0
0.19219784405860765,0.025849545972991914,1015.0,8283.0,0.16914841010473708,3.0360666770956927e-18,0.0,39861.0,0.0,0.0,0
0.18802929638865623,0.02580026350224604,1016.0,8292.0,0.16502914490553156,-2.4669553736799463e-17,0.0,39861.0,0.0,0.0,0
0.18410773422934898,0.02572455400157916,1017.0,8307.0,0.1611832922468911,7.7274549667832e-17,0.0,39861.0,0.0,0.0,0
0.18044223249355798,0.025656703442389774,1018.0,8322.0,0.15758564107028952,5.591321997958103e-17,0.0,39861.0,0.0,0.0,0
0.17698943820208865,0.025575943401585685,1019.0,8341.0,0.15421360681962432,3.747304607825679e-17,0.0,39861.0,0.0,0.0,0
0.17374849861641306,0.025501780195245256,1020.0,8359.0,0.15104683044028908,3.9904318596568487e-17,0.0,39861.0,0.0,0.0,0
0.17072721174664582,0.025460412668472553,1021.0,8369.0,0.14806691109729453,8.77616803811466e-17,0.0,39861.0,0.0,0.0,0
0.16788268822918548,0.025425600766305904,1022.0,8377.0,0.14525719948200086,5.550195995160791e-17,0.0,39861.0,0.0,0.0,0
0.1651786826543619,0.025376170953681925,1023.0,8391.0,0.1426026237198013,-3.767867609224335e-18,0.0,39861.0,0.0,0.0,0
0.1626125844086962,0.02532315982642263,1024.0,8403.0,0.14008953660139484,8.839066630628197e-17,0.0,39861.0,0.0,0.0,0
0.15998709460297425,0.02508162752105138,1025.0,8432.0,0.13770557910104422,1.6027045207776065e-17,0.0,39861.0,0.0,0.0,0
0.15743969873018204,0.024800253223747952,1026.0,8463.0,0.1354395575255554,5.4395186641033184e-17,0.0,39861.0,0.0,0.0,0
0.1550851130794107,0.024603892508685412,1027.0,8487.0,0.1332813325898466,1.1218931645443247e-17,0.0,39861.0,0.0,0.0,0
0.1528063993097795,0.024384792194478193,1028.0,8509.0,0.13122171913442263,1.694633232912775e-17,0.0,39861.0,0.0,0.0,0
0.15065449829604333,0.024202214898193297,1029.0,8527.0,0.12925239541697137,8.647346882293668e-17,0.0,39861.0,0.0,0.0,0
0.14856757857238376,0.02400186954477356,1030.0,8547.0,0.1273658210467315,4.090827690014993e-17,0.0,39861.0,0.0,0.0,0
0.14661883057535163,0.02386377986275305,1031.0,8561.0,0.1255551627317199,8.113918434246178e-17,0.0,39861.0,0.0,0.0,0
0.14475108867847075,0.02373697360499984,1032.0,8574.0,0.12381422709259228,1.2845827932572213e-17,0.0,39861.0,0.0,0.0,0
0.142939312688325,0.0236020248377833,1033.0,8588.0,0.12213739986966299,8.00989383893533e-17,0.0,39861.0,0.0,0.0,0
0.14115033277149414,0.02343085387628451,1034.0,8606.0,0.1205195909143309,1.005288850730769e-16,0.0,39861.0,0.0,0.0,0
0.13943667310882543,0.02328060071361924,1035.0,8622.0,0.11895618441432748,8.580819524827427e-17,0.0,39861.0,0.0,0.0,0
0.1377657418038619,0.0231228599683011,1036.0,8639.0,0.11744299385468211,7.52363933527299e-18,0.0,39861.0,0.0,0.0,0
0.13616143744555678,0.02298532820094396,1037.0,8654.0,0.11597622126373414,8.771934479003172e-17,0.0,39861.0,0.0,0.0,0
0.13464706338190732,0.02289475506461187,1038.0,8664.0,0.11455242033641677,2.6054532360414828e-17,0.0,39861.0,0.0,0.0,0
0.13311058835006678,0.022742237303336486,1039.0,8681.0,0.11316846306585164,2.8546284294604917e-18,0.0,39861.0,0.0,0.0,0
0.13164846046484385,0.022627062934565092,1040.0,8694.0,0.11182150954940008,8.078840373036706e-17,0.0,39861.0,0.0,0.0,0
